Event,pH,ADD,Intensity,Duration,Date
1,6.5,6.54,0.17,3,3/01/2018
2,6.5,1.75,1.52,30,5/01/2018
3,6.5,3.96,1.15,51,10/01/2018
4,6.5,0.71,0.70,2,13/01/2018
5,6.5,19.88,2.33,13,2/02/2018
6,6.5,0.33,0.08,4,2/02/2018
7,6.5,8.08,1.28,12,11/02/2018
8,6.5,8.25,0.27,3,19/02/2018
9,6.5,0.29,2.08,29,20/02/2018
10,6.5,0.79,3.93,3,22/02/2018
11,6.5,3.71,1.00,8,26/02/2018
12,6.5,1.58,0.39,7,28/02/2018
13,6.5,6.08,1.44,13,6/03/2018
14,6.5,2.42,0.60,2,9/03/2018
15,6.5,12.42,1.02,21,21/03/2018
16,6.5,0.33,0.30,3,23/03/2018
17,6.5,0.29,0.22,20,23/03/2018
18,6.5,0.46,1.33,3,24/03/2018
19,6.5,15.71,0.92,55,9/04/2018
20,6.5,0.83,0.75,2,12/04/2018
21,6.5,3.42,0.98,4,16/04/2018
22,6.5,5.42,1.60,4,21/04/2018
23,6.5,6.17,1.09,34,28/04/2018
24,6.5,0.83,0.61,7,30/04/2018
25,6.5,11.63,0.50,2,12/05/2018
26,6.5,1.29,0.73,10,13/05/2018
27,6.5,0.96,0.68,11,15/05/2018
28,6.5,1.00,0.87,3,16/05/2018
29,6.5,0.29,1.10,6,16/05/2018
30,6.5,3.54,0.48,5,20/05/2018
31,6.5,2.13,4.80,1,23/05/2018
32,6.5,2.42,0.61,17,25/05/2018
33,6.5,0.92,0.30,1,27/05/2018
34,6.5,0.46,0.69,29,27/05/2018
35,6.5,4.58,0.30,1,2/06/2018
36,6.5,0.54,0.96,13,3/06/2018
37,6.5,0.75,0.54,23,4/06/2018
38,6.5,0.63,1.53,15,5/06/2018
39,6.5,0.50,0.66,7,7/06/2018
40,6.5,3.96,0.51,8,11/06/2018
41,6.5,1.21,1.16,22,12/06/2018
42,6.5,0.42,0.28,6,14/06/2018
43,6.5,4.54,0.19,12,18/06/2018
44,6.5,0.50,1.00,2,19/06/2018
45,6.5,6.38,0.35,2,26/06/2018
46,6.5,5.29,0.25,20,1/07/2018
47,6.5,7.38,1.48,4,10/07/2018
48,6.5,5.21,0.82,5,15/07/2018
49,6.5,0.54,0.59,9,16/07/2018
50,6.5,6.75,0.15,4,23/07/2018
51,6.5,0.88,0.23,4,24/07/2018
52,6.5,1.21,1.00,1,25/07/2018
53,6.5,3.92,0.25,2,29/07/2018
54,6.5,7.29,0.14,14,6/08/2018
55,6.5,2.08,1.10,1,8/08/2018
56,6.5,9.13,0.45,11,17/08/2018
57,6.5,5.71,0.36,5,24/08/2018
58,6.5,5.13,0.27,6,29/08/2018
59,6.5,4.46,2.22,12,3/09/2018
60,6.5,0.42,0.41,9,3/09/2018
61,6.5,20.46,4.40,2,24/09/2018
62,6.5,0.25,0.61,8,25/09/2018
63,6.5,10.25,0.58,4,5/10/2018
64,6.5,5.38,0.33,4,11/10/2018
65,6.5,0.29,0.65,35,11/10/2018
66,6.5,4.13,0.14,5,17/10/2018
67,6.5,8.00,0.62,5,25/10/2018
68,6.5,3.83,1.45,6,29/10/2018
69,6.5,0.50,0.59,8,30/10/2018
70,6.5,0.25,0.75,2,30/10/2018
71,6.5,1.00,0.45,12,31/10/2018
72,6.5,1.46,0.50,3,2/11/2018
73,6.5,5.83,1.30,22,8/11/2018
74,6.5,9.04,0.90,5,18/11/2018
75,6.5,0.79,0.80,4,19/11/2018
76,6.5,0.42,2.41,7,20/11/2018
77,6.5,2.75,0.90,1,23/11/2018
78,6.5,0.79,1.50,2,24/11/2018
79,6.5,0.46,0.43,7,24/11/2018
80,6.5,0.42,0.90,2,25/11/2018
81,6.5,1.96,0.27,12,27/11/2018
82,6.5,0.42,0.24,5,28/11/2018
83,6.5,2.17,0.25,2,30/11/2018
84,6.5,0.25,0.40,1,1/12/2018
85,6.5,4.42,1.42,9,5/12/2018
86,6.5,5.71,0.41,16,11/12/2018
87,6.5,6.50,1.16,34,18/12/2018
88,6.5,1.42,0.97,6,21/12/2018
89,6.5,0.67,1.78,11,22/12/2018
90,6.5,8.79,0.45,4,31/12/2018
