Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
103,4977.6,540.61,459.51,0.76448,0.1529,188.45,0.1963,26.414,2.8687,2.4384,0.0040567,0.00081134
104,242.55,27.947,23.755,0.038068,0.0076137,14.3,0.11917,16.961,1.9543,1.6612,0.0026621,0.00053242
105,133.7,12.313,10.466,0.016634,0.0033268,15.6,0.26,8.5707,0.78933,0.67093,0.0010663,0.00021325
106,453.92,8.8243,7.5007,0.011225,0.002245,10.4,0.17333,43.646,0.84849,0.72122,0.0010793,0.00021586
107,3175.1,1030.2,875.68,1.4583,0.29165,357.55,0.33107,8.8802,2.8813,2.4491,0.0040785,0.0008157
108,2163.3,179.01,152.16,0.25217,0.050434,66.339,0.15795,32.61,2.6984,2.2937,0.0038012,0.00076024
109,61.832,11.862,10.083,0.013839,0.0027678,5.2,0.043333,11.891,2.2812,1.9391,0.0026614,0.00053228
110,3174.5,1205.5,1024.6,1.7067,0.34133,427.75,0.5941,7.4214,2.8181,2.3954,0.0039899,0.00079797
111,182.52,4.9476,4.2055,0.0042153,0.00084306,3.9,0.065,46.8,1.2686,1.0783,0.0010808,0.00021617
112,26.802,9.6682,8.218,0.010377,0.0020754,3.9,0.0325,6.8722,2.479,2.1072,0.0026607,0.00053215
