Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
1,2905.6,322.05,273.74,0.42897,0.085794,124.0,0.51667,23.432,2.5972,2.2076,0.0034594,0.00069188
2,7681.7,803.72,683.16,1.1218,0.22436,310.0,1.0333,24.78,2.5926,2.2038,0.0036188,0.00072375
3,255.65,92.22,78.387,0.09898,0.019796,37.2,0.31,6.8722,2.479,2.1072,0.0026607,0.00053215
4,5796.3,706.47,600.5,0.98959,0.19792,309.88,1.7215,18.705,2.2798,1.9379,0.0031935,0.0006387
5,2283.7,200.0,170.0,0.26418,0.052836,99.2,0.82667,23.021,2.0161,1.7137,0.0026631,0.00053262
6,1054.5,57.661,49.012,0.066253,0.013251,62.0,1.0333,17.009,0.93001,0.79051,0.0010686,0.00021372
7,2710.3,309.92,263.43,0.40385,0.08077,111.6,0.372,24.286,2.777,2.3605,0.0036187,0.00072374
8,38559.0,8746.0,7434.1,12.38,2.476,3087.0,3.9577,12.491,2.8332,2.4082,0.0040104,0.00080208
9,988.5,115.24,97.955,0.13206,0.026413,49.6,0.41333,19.929,2.3234,1.9749,0.0026626,0.00053252
10,18969.0,6742.0,5730.7,9.5419,1.9084,2406.1,3.6456,7.8837,2.802,2.3817,0.0039657,0.00079314
11,1005.6,73.479,62.457,0.092619,0.018524,86.8,1.4467,11.586,0.84653,0.71955,0.001067,0.00021341
12,6143.2,498.89,424.06,0.68649,0.1373,198.4,0.82667,30.964,2.5146,2.1374,0.0034601,0.00069203
13,441.54,40.238,34.203,0.026507,0.0053014,24.8,0.41333,17.804,1.6225,1.3791,0.0010688,0.00021377
14,2887.7,244.64,207.94,0.33023,0.066047,124.0,1.0333,23.288,1.9729,1.677,0.0026632,0.00053263
15,66527.0,9104.6,7738.9,12.888,2.5776,3199.4,3.8089,20.793,2.8457,2.4188,0.0040281,0.00080563
16,571.25,95.996,81.597,0.099021,0.019804,37.2,0.31,15.356,2.5805,2.1935,0.0026619,0.00053237
17,986.03,141.67,120.42,0.15801,0.031601,49.476,0.27487,19.93,2.8635,2.434,0.0031936,0.00063872
18,482.93,118.49,100.72,0.11878,0.023755,37.2,0.20667,12.982,3.1853,2.7075,0.0031929,0.00063858
19,213.55,37.419,31.806,0.026443,0.0052887,24.8,0.41333,8.6108,1.5088,1.2825,0.0010663,0.00021325
20,203.76,37.251,31.663,0.026441,0.0052882,24.8,0.41333,8.2163,1.502,1.2767,0.0010662,0.00021323
21,4492.0,245.64,208.8,0.33055,0.066111,124.0,1.0333,36.226,1.981,1.6839,0.0026658,0.00053315
22,6033.9,1842.8,1566.4,2.6019,0.52038,719.2,2.3973,8.3898,2.5623,2.1779,0.0036178,0.00072355
23,546.03,112.86,95.927,0.132,0.0264,49.6,0.41333,11.009,2.2753,1.934,0.0026613,0.00053225
24,2463.9,429.03,364.67,0.58324,0.11665,161.2,0.53733,15.285,2.6615,2.2623,0.0036181,0.00072363
25,49910.0,3958.8,3365.0,5.5993,1.1199,1451.3,3.0235,34.39,2.7278,2.3186,0.0038582,0.00077163
26,2941.8,1193.5,1014.5,1.6758,0.33516,434.5,0.9052,6.7706,2.7469,2.3349,0.0038569,0.00077138
27,1159.5,348.57,296.28,0.46271,0.092543,124.25,0.34513,9.3322,2.8054,2.3846,0.0037241,0.00074482
28,1293.4,116.42,98.954,0.13212,0.026424,49.6,0.41333,26.076,2.3471,1.995,0.0026637,0.00053273
29,11225.0,1212.5,1030.6,1.7051,0.34103,471.2,1.5707,23.823,2.5733,2.1873,0.0036187,0.00072374
30,28682.0,3269.7,2779.3,4.6135,0.9227,1128.5,0.98993,25.416,2.8974,2.4628,0.0040881,0.00081761
31,257.71,38.111,32.394,0.026455,0.0052909,24.8,0.41333,10.391,1.5367,1.3062,0.0010667,0.00021334
32,3183.2,884.72,752.01,1.2279,0.24558,309.63,0.46913,10.281,2.8574,2.4288,0.0039657,0.00079315
33,785.93,374.8,318.58,0.48814,0.097629,124.0,0.20667,6.3381,3.0225,2.5692,0.0039367,0.00078733
34,315.25,48.024,40.82,0.05286,0.010572,49.6,0.82667,6.3559,0.96822,0.82299,0.0010657,0.00021315
35,43323.0,5372.1,4566.3,7.5976,1.5195,1872.9,1.9509,23.132,2.8683,2.4381,0.0040566,0.00081132
36,101950.0,9454.1,8036.0,13.381,2.6761,3260.2,2.5875,31.271,2.8998,2.4649,0.0041042,0.00082084
37,2729.5,402.98,342.54,0.55473,0.11095,173.72,0.96513,15.712,2.3197,1.9717,0.0031932,0.00063863
38,640.87,86.252,73.314,0.066058,0.013212,24.8,0.20667,25.842,3.4779,2.9562,0.0026636,0.00053272
39,2024.2,178.11,151.39,0.23116,0.046233,86.8,0.72333,23.32,2.052,1.7442,0.0026632,0.00053263
40,1020.3,310.53,263.95,0.4289,0.085781,161.2,1.3433,6.3293,1.9264,1.6374,0.0026607,0.00053214
41,8945.4,2021.6,1718.4,2.8459,0.56919,706.55,0.84113,12.661,2.8612,2.432,0.0040279,0.00080558
42,24856.0,6703.2,5697.7,9.4845,1.8969,2331.4,2.2857,10.661,2.8751,2.4438,0.0040681,0.00081362
43,545.25,185.9,158.02,0.23752,0.047503,74.4,0.41333,7.3286,2.4987,2.1239,0.0031924,0.00063848
44,44815.0,4209.8,3578.3,5.9433,1.1887,1437.9,0.92173,31.167,2.9277,2.4886,0.0041333,0.00082666
45,10736.0,926.57,787.59,1.2944,0.25887,347.45,0.96513,30.899,2.6668,2.2668,0.0037253,0.00074506
46,2563.7,1106.5,940.54,1.5535,0.3107,408.83,0.9734,6.2708,2.7066,2.3006,0.0037999,0.00075999
47,2308.0,582.96,495.52,0.80153,0.16031,210.92,0.5022,10.942,2.7639,2.3493,0.0038001,0.00076002
48,2220.7,294.07,249.96,0.39558,0.079117,123.88,0.6882,17.927,2.3739,2.0178,0.0031934,0.00063868
49,18980.0,5809.8,4938.3,8.2194,1.6439,2033.0,2.2589,9.336,2.8578,2.4291,0.004043,0.00080861
50,4733.0,352.42,299.56,0.47202,0.094403,136.4,0.56833,34.699,2.5837,2.1962,0.0034605,0.00069211
51,1998.0,118.45,100.69,0.13227,0.026453,49.6,0.41333,40.282,2.3882,2.03,0.0026667,0.00053333
52,12604.0,4969.4,4224.0,7.0276,1.4055,1723.1,1.5955,7.3144,2.884,2.4514,0.0040784,0.00081569
53,942.23,287.66,244.51,0.39591,0.079182,148.8,1.24,6.3322,1.9332,1.6432,0.0026607,0.00053214
54,1396.1,46.4,39.44,0.040042,0.0080084,37.2,0.62,37.529,1.2473,1.0602,0.0010764,0.00021528
55,1118.9,290.21,246.68,0.38596,0.077191,111.6,0.465,10.026,2.6005,2.2104,0.0034584,0.00069168
56,963.04,50.519,42.941,0.05304,0.010608,49.6,0.82667,19.416,1.0185,0.86575,0.0010694,0.00021387
57,34522.0,5901.8,5016.5,8.3479,1.6696,2046.7,1.8951,16.867,2.8835,2.451,0.0040786,0.00081572
58,3940.1,295.06,250.8,0.3862,0.07724,111.6,0.465,35.306,2.6439,2.2473,0.0034606,0.00069212
59,23063.0,5683.7,4831.1,8.0366,1.6073,1946.8,1.2979,11.847,2.9195,2.4816,0.0041281,0.00082562
60,957.83,316.79,269.27,0.41561,0.083121,111.6,0.31,8.5827,2.8386,2.4128,0.0037241,0.00074482
61,3837.8,553.17,470.19,0.75542,0.15108,198.77,0.47327,19.308,2.7829,2.3655,0.0038005,0.00076009
62,10448.0,1531.4,1301.7,2.1543,0.43086,558.5,1.1635,18.707,2.742,2.3307,0.0038573,0.00077147
63,29718.0,5053.7,4295.7,7.1467,1.4293,1761.8,1.8352,16.868,2.8685,2.4382,0.0040565,0.00081129
64,9691.0,648.19,550.96,0.9012,0.18024,260.4,1.085,37.216,2.4892,2.1158,0.0034608,0.00069217
65,1219.9,65.633,55.788,0.07949,0.015898,74.4,1.24,16.397,0.88216,0.74984,0.0010684,0.00021368
66,2825.0,403.43,342.91,0.56106,0.11221,210.8,1.7567,13.401,1.9138,1.6267,0.0026616,0.00053232
67,2392.8,311.83,265.06,0.42908,0.085816,161.2,1.3433,14.843,1.9344,1.6443,0.0026618,0.00053236
68,946.63,43.664,37.115,0.026702,0.0053403,24.8,0.41333,38.171,1.7607,1.4966,0.0010767,0.00021534
69,455.41,40.367,34.312,0.026511,0.0053023,24.8,0.41333,18.363,1.6277,1.3836,0.001069,0.0002138
70,1027.9,81.974,69.678,0.10582,0.021164,99.2,1.6533,10.362,0.82635,0.7024,0.0010667,0.00021334
