Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
86,423.17,611.22,598.99,0.68702,0.35725,774.9,0.7175,0.5461,0.78877,0.773,0.00088659,0.00046103
87,241.99,239.1,234.32,0.26812,0.13942,319.8,0.66625,0.75668,0.74766,0.73271,0.00083841,0.00043597
88,358.22,266.1,260.78,0.29871,0.15533,369.0,1.025,0.9708,0.72115,0.70672,0.0008095,0.00042094
89,450.93,2109.0,2066.9,2.3732,1.234,2631.0,1.4616,0.17139,0.80162,0.78559,0.00090201,0.00046905
90,361.96,434.04,425.36,0.48789,0.2537,590.65,1.4063,0.61283,0.73486,0.72016,0.00082602,0.00042953
91,99.658,95.302,93.396,0.10668,0.055475,184.5,1.5375,0.54015,0.51654,0.50621,0.00057822,0.00030068
92,17.553,6.2387,6.1139,0.0056901,0.0029589,24.6,0.41,0.71354,0.2536,0.24853,0.00023131,0.00012028
93,3484.4,5362.5,5255.2,6.0349,3.1382,6764.9,5.3689,0.51507,0.79269,0.77684,0.0008921,0.00046389
94,603.18,871.25,853.82,0.9801,0.50965,1169.0,2.4354,0.51598,0.7453,0.73039,0.00083841,0.00043597
95,273.63,235.46,230.75,0.26448,0.13753,381.18,2.1176,0.71787,0.61772,0.60536,0.00069386,0.00036081
96,8.5909,10.717,10.502,0.01138,0.0059177,49.2,0.82,0.17461,0.21782,0.21346,0.00023131,0.00012028
97,53.31,13.325,13.058,0.014225,0.0073972,61.5,1.025,0.86684,0.21666,0.21233,0.00023131,0.00012028
98,80.512,76.408,74.879,0.085346,0.04438,147.6,1.23,0.54548,0.51767,0.50731,0.00057822,0.00030068
99,42.708,13.301,13.035,0.014225,0.0073972,61.5,1.025,0.69445,0.21628,0.21195,0.00023131,0.00012028
100,839.33,1926.9,1888.4,2.1683,1.1275,2533.8,4.223,0.33125,0.76048,0.74527,0.00085576,0.00044499
101,671.75,1185.2,1161.5,1.3332,0.69329,1500.4,1.3161,0.44773,0.78992,0.77412,0.00088862,0.00046208
102,408.58,394.62,386.72,0.44371,0.23073,639.48,3.5527,0.63893,0.61709,0.60475,0.00069386,0.00036081
103,1293.8,1397.4,1369.5,1.5722,0.81755,1783.0,1.8573,0.72565,0.78375,0.76807,0.00088178,0.00045852
104,63.045,70.102,68.699,0.078234,0.040681,135.3,1.1275,0.46597,0.51812,0.50776,0.00057822,0.00030068
105,34.754,30.706,30.092,0.034141,0.017753,147.6,2.46,0.23546,0.20803,0.20387,0.00023131,0.00012028
106,117.99,20.783,20.367,0.022761,0.011835,98.4,1.64,1.1991,0.21121,0.20698,0.00023131,0.00012028
107,825.32,2665.3,2612.0,2.9993,1.5597,3383.0,3.1324,0.24396,0.78785,0.7721,0.00088659,0.00046103
108,562.32,461.23,452.0,0.51847,0.2696,627.67,1.4945,0.89588,0.73483,0.72013,0.00082602,0.00042953
109,16.072,26.315,25.788,0.028449,0.014793,49.2,0.41,0.32667,0.53485,0.52416,0.00057822,0.00030068
110,825.16,3119.2,3056.8,3.5102,1.8253,4047.2,5.6211,0.20389,0.7707,0.75529,0.00086732,0.00045101
111,47.443,8.5806,8.409,0.0085352,0.0044383,36.9,0.615,1.2857,0.23254,0.22788,0.00023131,0.00012028
112,6.9666,20.11,19.708,0.021336,0.011095,36.9,0.3075,0.1888,0.54498,0.53408,0.00057822,0.00030068
