Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
3/01/2018,261.32,5.2495,5.2495,0.062184,0.014302,6.63,0.036833,39.414,0.79178,0.79178,0.0093792,0.0021572
5/01/2018,10402.0,587.86,587.86,7.2191,1.6604,592.8,0.32933,17.547,0.99166,0.99166,0.012178,0.0028009
10/01/2018,18418.0,764.07,764.07,9.3829,2.1581,762.45,0.24917,24.157,1.0021,1.0021,0.012306,0.0028304
13/01/2018,257.24,11.637,11.637,0.14225,0.032717,18.2,0.15167,14.134,0.6394,0.6394,0.0078158,0.0017976
2/02/2018,22600.0,377.41,377.41,4.6355,1.0662,393.77,0.50483,57.394,0.95846,0.95846,0.011772,0.0027076
2/02/2018,41.541,3.7011,3.7011,0.042234,0.0097137,4.16,0.017333,9.9859,0.88968,0.88968,0.010152,0.002335
11/02/2018,8100.6,190.44,190.44,2.3386,0.53787,199.68,0.27733,40.568,0.95374,0.95374,0.011712,0.0026937
19/02/2018,461.19,8.1748,8.1748,0.098767,0.022716,10.53,0.0585,43.797,0.77633,0.77633,0.0093796,0.0021573
20/02/2018,5651.1,776.91,776.91,9.5408,2.1944,784.16,0.45067,7.2066,0.99075,0.99075,0.012167,0.0027984
22/02/2018,2168.8,116.95,116.95,1.4366,0.33043,153.27,0.8515,14.15,0.76303,0.76303,0.0093732,0.0021558
26/02/2018,3050.4,95.917,95.917,1.1775,0.27082,104.0,0.21667,29.331,0.92228,0.92228,0.011322,0.0026041
28/02/2018,720.26,32.327,32.327,0.39588,0.091053,35.49,0.0845,20.295,0.91087,0.91087,0.011155,0.0025656
6/03/2018,8530.8,233.28,233.28,2.8647,0.65887,243.36,0.312,35.054,0.95856,0.95856,0.011771,0.0027074
9/03/2018,387.95,9.9966,9.9966,0.12198,0.028055,15.6,0.13,24.868,0.64081,0.64081,0.0078192,0.0017984
21/03/2018,13394.0,273.15,273.15,3.3541,0.77144,278.46,0.221,48.1,0.98093,0.98093,0.012045,0.0027704
23/03/2018,116.52,9.0295,9.0295,0.10966,0.025222,11.7,0.065,9.959,0.77175,0.77175,0.0093729,0.0021558
23/03/2018,528.12,56.118,56.118,0.68765,0.15816,57.2,0.047667,9.2329,0.98109,0.98109,0.012022,0.002765
24/03/2018,593.26,39.615,39.615,0.48617,0.11182,51.87,0.28817,11.437,0.76373,0.76373,0.0093728,0.0021558
9/04/2018,31000.0,659.93,659.93,8.104,1.8639,657.8,0.19933,47.127,1.0032,1.0032,0.01232,0.0028336
12/04/2018,296.0,12.462,12.462,0.15241,0.035055,19.5,0.1625,15.18,0.63906,0.63906,0.0078161,0.0017977
16/04/2018,1467.2,42.174,42.174,0.51748,0.11902,50.96,0.21233,28.791,0.82759,0.82759,0.010155,0.0023356
21/04/2018,2926.7,68.804,68.804,0.84492,0.19433,83.2,0.34667,35.177,0.82698,0.82698,0.010155,0.0023357
28/04/2018,15667.0,479.23,479.23,5.8849,1.3535,481.78,0.23617,32.518,0.9947,0.9947,0.012215,0.0028094
30/04/2018,831.85,50.48,50.48,0.61917,0.14241,55.51,0.13217,14.986,0.90938,0.90938,0.011154,0.0025655
12/05/2018,666.2,8.3632,8.3632,0.10173,0.023399,13.0,0.10833,51.246,0.64332,0.64332,0.0078256,0.0017999
13/05/2018,1717.7,89.345,89.345,1.0966,0.25221,94.9,0.15817,18.1,0.94146,0.94146,0.011555,0.0026576
15/05/2018,1535.1,92.221,92.221,1.1319,0.26033,97.24,0.14733,15.787,0.94839,0.94839,0.01164,0.0026771
16/05/2018,558.25,25.943,25.943,0.31806,0.073155,33.93,0.1885,16.453,0.76461,0.76461,0.0093741,0.002156
16/05/2018,784.16,76.404,76.404,0.93787,0.21571,85.8,0.23833,9.1395,0.89049,0.89049,0.010931,0.0025141
20/05/2018,919.1,27.065,27.065,0.3314,0.076223,31.2,0.104,29.458,0.86747,0.86747,0.010622,0.002443
23/05/2018,1439.0,15.909,15.909,0.19626,0.045141,62.4,1.04,23.061,0.25496,0.25496,0.0031453,0.00072341
25/05/2018,3213.3,131.13,131.13,1.6096,0.37021,134.81,0.13217,23.836,0.97273,0.97273,0.01194,0.0027462
27/05/2018,62.419,1.1051,1.1051,0.012263,0.0028205,3.9,0.065,16.005,0.28337,0.28337,0.0031444,0.00072321
27/05/2018,2764.8,257.78,257.78,3.165,0.72795,260.13,0.1495,10.629,0.99096,0.99096,0.012167,0.0027984
2/06/2018,130.61,1.1194,1.1194,0.012303,0.0028297,3.9,0.065,33.49,0.28703,0.28703,0.0031547,0.00072558
3/06/2018,1921.1,155.54,155.54,1.9096,0.43921,162.24,0.208,11.841,0.95869,0.95869,0.01177,0.0027072
4/06/2018,2224.3,158.93,158.93,1.9509,0.44871,161.46,0.117,13.776,0.98433,0.98433,0.012083,0.0027791
5/06/2018,3616.4,288.3,288.3,3.5403,0.81426,298.35,0.3315,12.121,0.96632,0.96632,0.011866,0.0027292
7/06/2018,711.71,54.606,54.606,0.6699,0.15408,60.06,0.143,11.85,0.90919,0.90919,0.011154,0.0025654
11/06/2018,1632.4,48.976,48.976,0.60053,0.13812,53.04,0.1105,30.777,0.92338,0.92338,0.011322,0.0026041
12/06/2018,5367.2,325.95,325.95,4.0026,0.92059,331.76,0.25133,16.178,0.9825,0.9825,0.012065,0.0027749
14/06/2018,242.14,19.547,19.547,0.23874,0.05491,21.84,0.060667,11.087,0.895,0.895,0.010931,0.0025142
18/06/2018,979.56,28.433,28.433,0.34713,0.07984,29.64,0.041167,33.049,0.95928,0.95928,0.011712,0.0026937
19/06/2018,311.87,16.583,16.583,0.20319,0.046733,26.0,0.21667,11.995,0.63781,0.63781,0.0078149,0.0017974
26/06/2018,354.29,5.903,5.903,0.071192,0.016374,9.1,0.075833,38.933,0.64868,0.64868,0.0078233,0.0017993
1/07/2018,2275.8,63.772,63.772,0.78148,0.17974,65.0,0.054167,35.012,0.9811,0.9811,0.012023,0.0027652
10/07/2018,3127.2,63.651,63.651,0.7816,0.17977,76.96,0.32067,40.634,0.82706,0.82706,0.010156,0.0023359
15/07/2018,1860.9,46.148,46.148,0.56617,0.13022,53.3,0.17767,34.913,0.86581,0.86581,0.010622,0.0024431
16/07/2018,844.78,64.427,64.427,0.79044,0.1818,69.03,0.12783,12.238,0.93332,0.93332,0.011451,0.0026337
23/07/2018,311.8,6.656,6.656,0.079224,0.018221,7.8,0.0325,39.975,0.85333,0.85333,0.010157,0.0023361
24/07/2018,187.0,10.017,10.017,0.12143,0.027929,11.96,0.049833,15.636,0.83756,0.83756,0.010153,0.0023352
25/07/2018,235.24,3.3655,3.3655,0.040876,0.0094015,13.0,0.21667,18.096,0.25888,0.25888,0.0031443,0.00072319
29/07/2018,202.46,4.2739,4.2739,0.05084,0.011693,6.5,0.054167,31.147,0.65752,0.65752,0.0078216,0.001799
