Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
3/01/2020,38.59,308.33,181.92,16.979,5.6032,211.2,0.704,0.18272,1.4599,0.86134,0.080395,0.02653
6/01/2020,13.65,109.06,64.345,6.0058,1.9819,105.6,0.88,0.12926,1.0328,0.60933,0.056873,0.018768
4/02/2020,217.04,1734.2,1023.2,95.499,31.515,667.92,1.012,0.32495,2.5964,1.5319,0.14298,0.047183
6/02/2020,3.216,25.696,15.161,1.4151,0.46697,39.6,0.66,0.081213,0.64889,0.38285,0.035734,0.011792
8/02/2020,5.4681,43.69,25.777,2.406,0.79396,52.8,0.88,0.10356,0.82746,0.4882,0.045567,0.015037
15/02/2020,4.5593,36.429,21.493,2.0061,0.66201,52.8,0.44,0.08635,0.68994,0.40706,0.037994,0.012538
22/02/2020,1033.5,8257.6,4872.0,454.74,150.06,962.28,5.346,1.074,8.5813,5.063,0.47256,0.15595
23/02/2020,12.507,99.935,58.961,5.5033,1.8161,105.6,1.76,0.11844,0.94635,0.55835,0.052114,0.017198
28/02/2020,13.601,108.67,64.114,5.9842,1.9748,92.4,0.77,0.14719,1.1761,0.69388,0.064765,0.021372
3/03/2020,14.162,113.16,66.763,6.2314,2.0564,105.6,0.88,0.13411,1.0716,0.63222,0.05901,0.019473
10/03/2020,10.169,81.25,47.938,4.4744,1.4765,79.2,0.66,0.1284,1.0259,0.60527,0.056494,0.018643
10/03/2020,4.2338,33.828,19.959,1.8629,0.61475,79.2,0.66,0.053457,0.42712,0.252,0.023521,0.007762
20/03/2020,10.227,81.717,48.213,4.5001,1.485,52.8,0.88,0.1937,1.5477,0.91313,0.085229,0.028125
23/03/2020,143.79,1148.9,677.86,63.269,20.879,407.88,2.266,0.35254,2.8168,1.6619,0.15512,0.051189
27/03/2020,21.289,170.1,100.36,9.3674,3.0912,92.4,1.54,0.23041,1.8409,1.0862,0.10138,0.033455
29/03/2020,1895.9,15148.0,8937.3,834.18,275.28,4564.6,2.926,0.41534,3.3186,1.958,0.18275,0.060308
31/03/2020,3.6585,29.231,17.246,1.6097,0.53121,52.8,0.88,0.069289,0.55362,0.32664,0.030487,0.010061
17/04/2020,12.493,99.818,58.893,5.4969,1.814,52.8,0.88,0.23661,1.8905,1.1154,0.10411,0.034355
18/04/2020,328.26,2622.8,1547.4,144.43,47.663,1256.6,2.992,0.26122,2.0871,1.2314,0.11494,0.037929
3/05/2020,11.884,94.951,56.021,5.2288,1.7255,52.8,0.88,0.22507,1.7983,1.061,0.099031,0.03268
4/05/2020,70.301,561.7,331.41,30.932,10.208,807.84,0.748,0.087023,0.69532,0.41024,0.03829,0.012636
