Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
1,66.949,39.4,16.942,0.068438,0.034219,13.0,0.054167,5.1499,3.0307,1.3032,0.0052645,0.0026322
2,177.0,36.437,15.668,0.17897,0.089484,32.5,0.10833,5.4461,1.1211,0.48209,0.0055067,0.0027534
3,5.8905,3.0038,1.2916,0.015801,0.0079006,3.9,0.0325,1.5104,0.77021,0.33119,0.0040516,0.0020258
4,133.55,19.062,8.1969,0.15789,0.078947,32.487,0.18048,4.111,0.58677,0.25231,0.0048602,0.0024301
5,52.619,25.117,10.8,0.042149,0.021075,10.4,0.086667,5.0596,2.4151,1.0385,0.0040528,0.0020264
6,24.298,8.7555,3.7649,0.010587,0.0052933,6.5,0.10833,3.7382,1.347,0.57921,0.0016287,0.00081435
7,62.449,54.718,23.529,0.06443,0.032215,11.7,0.039,5.3375,4.6767,2.011,0.0055068,0.0027534
8,888.45,152.63,65.631,1.9752,0.98758,323.63,0.41492,2.7452,0.47161,0.20279,0.006103,0.0030515
9,22.777,27.767,11.94,0.021075,0.010537,5.2,0.043333,4.3801,5.3397,2.2961,0.0040528,0.0020264
10,437.07,116.87,50.253,1.5224,0.76119,252.25,0.3822,1.7327,0.4633,0.19922,0.0060351,0.0030176
11,23.171,3.306,1.4216,0.014812,0.0074058,9.1,0.15167,2.5463,0.3633,0.15622,0.0016276,0.00081382
12,141.55,58.433,25.126,0.1095,0.054752,20.8,0.086667,6.8052,2.8093,1.208,0.0052646,0.0026323
13,10.174,19.43,8.3549,0.0042362,0.0021181,2.6,0.043333,3.9129,7.4731,3.2134,0.0016293,0.00081466
14,66.536,22.861,9.8301,0.052686,0.026343,13.0,0.10833,5.1182,1.7585,0.75617,0.0040528,0.0020264
15,1532.9,163.77,70.421,2.0561,1.028,335.43,0.39932,4.57,0.48824,0.20994,0.0061298,0.0030649
16,13.163,17.404,7.4837,0.015805,0.0079024,3.9,0.0325,3.375,4.4626,1.9189,0.0040525,0.0020263
17,22.72,38.896,16.725,0.025212,0.012606,5.187,0.028817,4.3801,7.4987,3.2244,0.0048606,0.0024303
18,11.127,15.776,6.7839,0.018955,0.0094775,3.9,0.021667,2.8532,4.0452,1.7395,0.0048603,0.0024301
19,4.9204,2.9438,1.2658,0.0042316,0.0021158,2.6,0.043333,1.8925,1.1322,0.48686,0.0016276,0.00081378
20,4.695,2.6314,1.1315,0.0042314,0.0021157,2.6,0.043333,1.8058,1.0121,0.4352,0.0016275,0.00081373
21,103.5,67.548,29.046,0.052695,0.026347,13.0,0.10833,7.9618,5.196,2.2343,0.0040534,0.0020267
22,139.03,32.412,13.937,0.41516,0.20758,75.4,0.25133,1.8439,0.42987,0.18485,0.0055061,0.0027531
23,12.581,6.7329,2.8952,0.021071,0.010535,5.2,0.043333,2.4195,1.2948,0.55676,0.004052,0.002026
24,56.772,17.354,7.462,0.093061,0.04653,16.9,0.056333,3.3593,1.0268,0.44154,0.0055065,0.0027533
25,1150.0,94.191,40.502,0.89317,0.44659,152.15,0.31698,7.5582,0.61906,0.2662,0.0058703,0.0029351
26,67.783,21.215,9.1223,0.26738,0.13369,45.552,0.0949,1.488,0.46572,0.20026,0.0058698,0.0029349
27,26.717,9.4559,4.066,0.073831,0.036915,13.026,0.036183,2.051,0.72592,0.31215,0.005668,0.002834
28,29.801,56.717,24.388,0.021077,0.010538,5.2,0.043333,5.731,10.907,4.69,0.0040532,0.0020266
29,258.65,35.526,15.276,0.27203,0.13601,49.4,0.16467,5.2358,0.71915,0.30923,0.0055067,0.0027533
30,660.88,83.748,36.012,0.73602,0.36801,118.31,0.10378,5.5858,0.70785,0.30438,0.0062209,0.0031105
31,5.9379,4.6893,2.0164,0.0042327,0.0021164,2.6,0.043333,2.2838,1.8036,0.77554,0.001628,0.00081399
32,73.346,18.913,8.1326,0.19591,0.097955,32.461,0.049183,2.2595,0.58264,0.25054,0.0060352,0.0030176
33,18.109,7.9728,3.4283,0.077884,0.038942,13.0,0.021667,1.393,0.61329,0.26372,0.0059911,0.0029956
34,7.2638,1.3248,0.56967,0.0084586,0.0042293,5.2,0.086667,1.3969,0.25477,0.10955,0.0016266,0.00081332
35,998.23,105.79,45.488,1.2121,0.60605,196.35,0.20453,5.0839,0.53876,0.23167,0.0061731,0.0030865
36,2349.1,190.35,81.851,2.1346,1.0673,341.8,0.27127,6.8728,0.55691,0.23947,0.0062452,0.0031226
37,62.891,13.615,5.8545,0.088518,0.044259,18.213,0.10118,3.4531,0.74755,0.32144,0.0048602,0.0024301
38,14.767,98.048,42.161,0.010539,0.0052694,2.6,0.021667,5.6795,37.711,16.216,0.0040534,0.0020267
39,46.641,28.143,12.101,0.036881,0.018441,9.1,0.075833,5.1253,3.0926,1.3298,0.0040529,0.0020264
40,23.509,5.7059,2.4535,0.068466,0.034233,16.9,0.14083,1.391,0.33762,0.14518,0.0040512,0.0020256
41,206.12,39.207,16.859,0.45405,0.22703,74.074,0.088183,2.7826,0.52929,0.22759,0.0061297,0.0030649
42,572.71,117.2,50.394,1.5132,0.75659,244.43,0.23963,2.3431,0.47947,0.20617,0.0061908,0.0030954
43,12.563,4.601,1.9784,0.037906,0.018953,7.8,0.043333,1.6107,0.58987,0.25364,0.0048597,0.0024299
44,1032.6,125.31,53.884,0.94815,0.47407,150.75,0.096633,6.8499,0.83126,0.35744,0.0062896,0.0031448
45,247.37,60.157,25.868,0.20648,0.10324,36.426,0.10118,6.7909,1.6515,0.71014,0.0056684,0.0028342
46,59.071,19.546,8.4049,0.24787,0.12394,42.861,0.10205,1.3782,0.45604,0.1961,0.0057832,0.0028916
47,53.179,14.146,6.0827,0.12789,0.063944,22.113,0.05265,2.4049,0.6397,0.27507,0.0057834,0.0028917
48,51.169,17.693,7.6082,0.063121,0.031561,12.987,0.07215,3.94,1.3624,0.58583,0.0048603,0.0024302
49,437.33,101.3,43.558,1.3114,0.65568,213.13,0.23682,2.0519,0.47528,0.20437,0.0061527,0.0030764
50,109.05,99.526,42.796,0.075286,0.037643,14.3,0.059583,7.6262,6.9599,2.9927,0.0052648,0.0026324
51,46.037,186.93,80.381,0.02108,0.01054,5.2,0.043333,8.8533,35.949,15.458,0.0040539,0.002027
52,290.4,86.407,37.155,1.1212,0.5606,180.65,0.16727,1.6076,0.47831,0.20568,0.0062066,0.0031033
53,21.71,5.3319,2.2927,0.063199,0.0316,15.6,0.13,1.3917,0.34179,0.14697,0.0040512,0.0020256
54,32.168,107.64,46.284,0.0063622,0.0031811,3.9,0.065,8.2481,27.599,11.868,0.0016313,0.00081567
55,25.781,8.3391,3.5858,0.061588,0.030794,11.7,0.04875,2.2035,0.71274,0.30648,0.0052639,0.002632
56,22.19,14.307,6.1518,0.0084717,0.0042359,5.2,0.086667,4.2673,2.7513,1.183,0.0016292,0.00081459
57,795.43,107.63,46.282,1.3318,0.66591,214.58,0.19868,3.707,0.5016,0.21569,0.0062067,0.0031033
58,90.786,121.29,52.154,0.061598,0.030799,11.7,0.04875,7.7595,10.367,4.4576,0.0052648,0.0026324
59,531.41,101.02,43.44,1.2822,0.64108,204.1,0.13607,2.6037,0.49497,0.21284,0.0062821,0.003141
60,22.07,8.3775,3.6023,0.066315,0.033157,11.7,0.0325,1.8863,0.71603,0.30789,0.0056679,0.002834
61,88.429,30.93,13.3,0.12052,0.060262,20.839,0.049617,4.2434,1.4842,0.63821,0.0057836,0.0028918
62,240.74,36.103,15.524,0.34371,0.17185,58.552,0.12198,4.1115,0.6166,0.26514,0.0058701,0.002935
63,684.74,92.97,39.977,1.1402,0.57009,184.7,0.1924,3.7072,0.50335,0.21644,0.006173,0.0030865
64,223.29,77.598,33.367,0.14373,0.071863,27.3,0.11375,8.1793,2.8424,1.2222,0.0052647,0.0026324
65,28.109,7.1921,3.0926,0.012702,0.0063512,7.8,0.13,3.6038,0.92206,0.39649,0.0016285,0.00081426
66,65.093,9.6345,4.1429,0.089548,0.044774,22.1,0.18417,2.9454,0.43595,0.18746,0.0040519,0.002026
67,55.133,9.7371,4.1869,0.068481,0.03424,16.9,0.14083,3.2623,0.57616,0.24775,0.0040521,0.0020261
68,21.812,159.32,68.508,0.0042424,0.0021212,2.6,0.043333,8.3892,61.277,26.349,0.0016317,0.00081584
69,10.493,21.133,9.0873,0.0042365,0.0021182,2.6,0.043333,4.0359,8.1281,3.4951,0.0016294,0.00081471
70,23.685,2.7557,1.185,0.016924,0.0084622,10.4,0.17333,2.2774,0.26497,0.11394,0.0016273,0.00081367
71,69.571,21.365,9.187,0.2705,0.13525,46.774,0.11137,1.4874,0.45677,0.19641,0.0057832,0.0028916
72,351.67,85.334,36.693,1.1054,0.5527,182.05,0.25285,1.9317,0.46873,0.20155,0.0060719,0.0030359
73,338.96,103.35,44.441,1.3414,0.6707,213.28,0.13672,1.5893,0.48459,0.20837,0.0062895,0.0031447
74,17.661,20.867,8.9727,0.006355,0.0031775,3.9,0.065,4.5286,5.3504,2.3007,0.0016295,0.00081475
75,53.141,65.658,28.233,0.031616,0.015808,7.8,0.065,6.813,8.4177,3.6196,0.0040533,0.0020267
76,214.82,123.14,52.951,0.18188,0.090938,29.952,0.0416,7.172,4.1113,1.7679,0.0060722,0.0030361
77,5.1411,3.2746,1.4081,0.0042319,0.0021159,2.6,0.043333,1.9773,1.2595,0.54157,0.0016276,0.00081382
78,41.031,10.937,4.7031,0.047412,0.023706,11.7,0.0975,3.5069,0.93482,0.40197,0.0040523,0.0020261
79,2060.9,593.51,255.21,7.7431,3.8716,1205.4,0.21602,1.7098,0.49239,0.21173,0.0064238,0.0032119
80,39.178,339.97,146.19,0.015812,0.0079058,3.9,0.0325,10.046,87.172,37.484,0.0040543,0.0020271
81,130.43,35.561,15.291,0.44993,0.22496,74.1,0.10292,1.7602,0.4799,0.20636,0.0060719,0.003036
82,301.67,100.27,43.118,0.18614,0.093069,33.8,0.11267,8.9252,2.9667,1.2757,0.005507,0.0027535
83,79.2,13.295,5.7167,0.13893,0.069465,28.587,0.15882,2.7705,0.46506,0.19997,0.0048599,0.00243
84,98.348,15.395,6.62,0.13894,0.069468,28.587,0.15882,3.4403,0.53855,0.23158,0.0048601,0.00243
85,15.37,14.456,6.2159,0.02521,0.012605,5.187,0.028817,2.9633,2.7869,1.1984,0.0048603,0.0024301
86,357.81,56.39,24.248,0.50833,0.25417,81.9,0.075833,4.3688,0.68852,0.29606,0.0062067,0.0031034
87,204.61,58.876,25.317,0.19842,0.099208,33.8,0.070417,6.0535,1.7419,0.74902,0.0058703,0.0029351
88,302.89,77.747,33.431,0.22107,0.11053,39.0,0.10833,7.7664,1.9935,0.85721,0.0056685,0.0028342
89,381.27,134.75,57.942,1.7558,0.87791,278.07,0.15448,1.3711,0.48459,0.20837,0.0063143,0.0031572
90,306.05,41.158,17.698,0.36105,0.18052,62.426,0.14863,4.9026,0.65931,0.2835,0.0057836,0.0028918
91,84.264,14.634,6.2927,0.079022,0.039511,19.5,0.1625,4.3212,0.75047,0.3227,0.0040524,0.0020262
