Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
3/01/2018,16.571,1.3709,1.1653,0.0016295,0.00032591,0.51,0.0028333,32.492,2.6881,2.2849,0.0031952,0.00063903
5/01/2018,625.73,133.65,113.6,0.18921,0.037843,45.6,0.025333,13.722,2.9309,2.4912,0.0041494,0.00082988
10/01/2018,1144.8,173.71,147.65,0.24593,0.049186,58.65,0.019167,19.518,2.9618,2.5175,0.0041932,0.00083864
13/01/2018,14.926,2.6951,2.2908,0.0037257,0.00074514,1.4,0.011667,10.661,1.9251,1.6363,0.0026612,0.00053224
2/02/2018,1498.3,85.815,72.942,0.12152,0.024304,30.29,0.038833,49.465,2.8331,2.4081,0.0040118,0.00080237
2/02/2018,2.3376,1.079,0.91711,0.0011066,0.00022133,0.32,0.0013333,7.305,3.3717,2.866,0.0034582,0.00069164
11/02/2018,518.04,43.328,36.829,0.061296,0.012259,15.36,0.021333,33.727,2.8209,2.3977,0.0039907,0.00079813
19/02/2018,29.518,1.9855,1.6877,0.0025886,0.00051771,0.81,0.0045,36.442,2.4512,2.0836,0.0031957,0.00063915
20/02/2018,316.36,176.61,150.12,0.25007,0.050013,60.32,0.034667,5.2447,2.9278,2.4887,0.0041457,0.00082913
22/02/2018,126.38,26.6,22.61,0.037642,0.0075285,11.79,0.0655,10.719,2.2561,1.9177,0.0031927,0.00063855
26/02/2018,189.1,21.847,18.57,0.030861,0.0061721,8.0,0.016667,23.637,2.7309,2.3213,0.0038576,0.00077151
28/02/2018,43.151,7.4296,6.3152,0.010375,0.002075,2.73,0.0065,15.806,2.7215,2.3133,0.0038003,0.00076006
6/03/2018,539.38,53.06,45.101,0.075084,0.015017,18.72,0.024,28.813,2.8344,2.4092,0.0040109,0.00080218
9/03/2018,23.641,2.335,1.9848,0.0031951,0.00063901,1.2,0.01,19.701,1.9459,1.654,0.0026626,0.00053251
21/03/2018,871.41,62.135,52.815,0.087917,0.017583,21.42,0.017,40.682,2.9008,2.4657,0.0041044,0.00082088
23/03/2018,6.5568,2.1375,1.8169,0.0028732,0.00057463,0.9,0.005,7.2853,2.375,2.0187,0.0031924,0.00063848
23/03/2018,29.565,12.861,10.932,0.018023,0.0036046,4.4,0.0036667,6.7194,2.923,2.4846,0.0040962,0.00081923
24/03/2018,33.83,9.0356,7.6803,0.012738,0.0025476,3.99,0.022167,8.4788,2.2646,1.9249,0.0031925,0.0006385
9/04/2018,2035.9,150.05,127.54,0.21242,0.042483,50.6,0.015333,40.236,2.9655,2.5206,0.004198,0.00083959
12/04/2018,17.283,2.881,2.4488,0.003992,0.0007984,1.5,0.0125,11.522,1.9207,1.6326,0.0026613,0.00053227
16/04/2018,90.656,9.6322,8.1874,0.013561,0.0027122,3.92,0.016333,23.126,2.4572,2.0886,0.0034594,0.00069188
21/04/2018,184.2,15.674,13.323,0.022144,0.0044288,6.4,0.026667,28.781,2.4491,2.0817,0.00346,0.000692
28/04/2018,991.15,108.97,92.624,0.15425,0.030849,37.06,0.018167,26.745,2.9403,2.4993,0.0041621,0.00083241
30/04/2018,48.569,11.529,9.8,0.016227,0.0032453,4.27,0.010167,11.374,2.7001,2.2951,0.0038001,0.00076003
12/05/2018,43.229,1.9844,1.6868,0.0026674,0.00053348,1.0,0.0083333,43.229,1.9844,1.6868,0.0026674,0.00053348
13/05/2018,102.08,20.359,17.305,0.028739,0.0057478,7.3,0.012167,13.983,2.7889,2.3705,0.0039369,0.00078737
15/05/2018,90.154,21.014,17.862,0.029664,0.0059328,7.48,0.011333,12.053,2.8093,2.3879,0.0039658,0.00079316
