Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
109,37.4,55.2,46.4,0.428,0.406,49.2,0.41,0.76,1.12,0.942,0.0087,0.00826
110,2520.0,1180.0,989.0,52.7,50.0,4050.0,5.62,0.623,0.291,0.244,0.013,0.0124
111,34.9,24.8,20.8,0.131,0.124,36.9,0.615,0.947,0.672,0.565,0.00354,0.00336
112,25.7,84.6,71.0,0.321,0.305,36.9,0.307,0.697,2.29,1.92,0.00869,0.00826
,
Average:,531.14mg,241.46mg,9.7264mg
Total:,59487.0mg,27044.0mg,1089.4mg
,
Area:,123.0m2
Material:,"Concrete, Zn guttering"
Surface:,Roof
