Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
4/10/2021,88795.0,2410.0,2410.0,29.594,6.8067,2457.0,1.95,36.14,0.98088,0.98088,0.012045,0.0027703
7/10/2021,1206.4,32.832,32.832,0.39098,0.089926,50.0,0.41667,24.127,0.65663,0.65663,0.0078196,0.0017985
11/10/2021,77597.0,2683.7,2683.7,32.952,7.579,2684.0,1.0167,28.911,0.9999,0.9999,0.012277,0.0028238
29/10/2021,16244.0,213.37,213.37,2.6172,0.60196,279.0,1.55,58.224,0.76478,0.76478,0.0093807,0.0021576
13/11/2021,30480.0,467.33,467.33,5.737,1.3195,540.0,1.8,56.445,0.86543,0.86543,0.010624,0.0024435
27/11/2021,66424.0,1210.3,1210.3,14.859,3.4176,1248.0,1.3,53.224,0.96982,0.96982,0.011906,0.0027385
2/12/2021,4352.6,108.29,108.29,1.3222,0.3041,141.0,0.78333,30.869,0.76798,0.76798,0.0093771,0.0021567
5/12/2021,18536.0,604.68,604.68,7.4208,1.7068,648.0,1.2,28.604,0.93314,0.93314,0.011452,0.0026339
6/12/2021,11745.0,1307.7,1307.7,16.053,3.6922,1325.0,0.88333,8.8645,0.98692,0.98692,0.012115,0.0027865
15/12/2021,231940.0,7705.5,7705.5,94.628,21.764,7685.0,2.4167,30.181,1.0027,1.0027,0.012313,0.0028321
17/12/2021,1922.8,41.049,41.049,0.50238,0.11555,160.0,2.6667,12.017,0.25656,0.25656,0.0031399,0.00072218
24/12/2021,2328.6,15.92,15.92,0.18936,0.043552,60.0,1.0,38.811,0.26534,0.26534,0.0031559,0.00072587
27/12/2021,14799.0,480.26,480.26,5.8901,1.3547,506.0,0.76667,29.248,0.94913,0.94913,0.011641,0.0026773
28/12/2021,5069.4,546.1,546.1,6.7017,1.5414,592.0,1.2333,8.5632,0.92247,0.92247,0.01132,0.0026037
29/12/2021,646.63,13.335,13.335,0.15708,0.036129,50.0,0.83333,12.933,0.2667,0.2667,0.0031417,0.00072258
30/12/2021,8140.5,273.68,273.68,3.3612,0.77307,430.0,3.5833,18.931,0.63647,0.63647,0.0078167,0.0017978
