Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
25/11/2018,398.0,75.5,32.5,0.897,0.448,221.0,1.84,1.8,0.341,0.147,0.00405,0.00203
27/11/2018,1540.0,326.0,140.0,2.42,1.21,399.0,0.553,3.86,0.818,0.352,0.00607,0.00304
28/11/2018,266.0,81.2,34.9,0.813,0.406,148.0,0.492,1.8,0.55,0.236,0.00551,0.00275
30/11/2018,253.0,192.0,82.5,0.249,0.125,61.5,0.512,4.11,3.12,1.34,0.00405,0.00203
1/12/2018,68.7,12.5,5.39,0.08,0.04,49.2,0.82,1.4,0.255,0.11,0.00163,0.000813
5/12/2018,8720.0,824.0,354.0,9.33,4.67,1570.0,2.91,5.55,0.524,0.225,0.00594,0.00297
11/12/2018,5230.0,814.0,350.0,4.98,2.49,807.0,0.841,6.49,1.01,0.434,0.00617,0.00309
18/12/2018,29000.0,2570.0,1100.0,30.7,15.4,4850.0,2.38,5.97,0.529,0.228,0.00633,0.00317
21/12/2018,2320.0,343.0,147.0,4.06,2.03,716.0,1.99,3.25,0.479,0.206,0.00567,0.00283
22/12/2018,5040.0,1120.0,481.0,14.5,7.27,2410.0,3.65,2.09,0.465,0.2,0.00604,0.00302
31/12/2018,1820.0,816.0,351.0,1.17,0.583,221.0,0.922,8.23,3.69,1.59,0.00526,0.00263
,
Average:,5201.8mg,748.65mg,6.7723mg
Total:,468160.0mg,67379.0mg,609.51mg
,
Area:,123.0m2
Material:,Galvanised painted Poor
Surface:,Roof
