Event,TSS (mg),TZn (mg),DZn (mg),TCu (mg),DCu (mg),Volume (l),Flow rate (l/min),Conc. TSS (mg/l),Conc. TZn (mg/l),Conc. DZn (mg/l),Conc. TCu (mg/l),Conc. DCu (mg/l)
1,205.86,19.145,16.465,0.23027,0.052961,123.0,0.5125,1.6736,0.15565,0.13386,0.0018721,0.00043058
2,511.13,47.096,40.503,0.60222,0.13851,307.5,1.025,1.6622,0.15316,0.13172,0.0019584,0.00045044
3,61.807,5.6417,4.8519,0.053143,0.012223,36.9,0.3075,1.675,0.15289,0.13149,0.0014402,0.00033124
4,510.64,41.471,35.665,0.53117,0.12217,307.38,1.7076,1.6613,0.13492,0.11603,0.0017281,0.00039745
5,164.83,12.192,10.485,0.14171,0.032593,98.4,0.82,1.6751,0.1239,0.10655,0.0014401,0.00033123
6,103.1,3.9678,3.4123,0.035437,0.0081505,61.5,1.025,1.6765,0.064517,0.055485,0.00057621,0.00013253
7,185.37,18.317,15.753,0.2168,0.049865,110.7,0.369,1.6745,0.16547,0.1423,0.0019585,0.00045045
8,4589.8,505.83,435.02,6.6481,1.5291,3062.1,3.9258,1.4989,0.16519,0.14207,0.0021711,0.00049935
9,82.547,7.1138,6.1178,0.070856,0.016297,49.2,0.41,1.6778,0.14459,0.12435,0.0014402,0.00033124
10,3663.5,390.03,335.43,5.1241,1.1785,2386.7,3.6162,1.535,0.16342,0.14054,0.0021469,0.00049379
11,144.1,4.8634,4.1825,0.04961,0.01141,86.1,1.435,1.6736,0.056485,0.048577,0.00057619,0.00013252
12,328.64,29.48,25.353,0.36842,0.084737,196.8,0.82,1.6699,0.1498,0.12883,0.0018721,0.00043057
13,41.302,2.7778,2.3889,0.014177,0.0032607,24.6,0.41,1.679,0.11292,0.097109,0.00057631,0.00013255
14,205.86,14.794,12.723,0.17713,0.040741,123.0,1.025,1.6736,0.12028,0.10344,0.0014401,0.00033123
15,4742.6,526.6,452.87,6.9204,1.5917,3173.6,3.7781,1.4944,0.16593,0.1427,0.0021806,0.00050154
16,61.907,5.8613,5.0407,0.053143,0.012223,36.9,0.3075,1.6777,0.15884,0.13661,0.0014402,0.00033124
17,82.341,8.4221,7.243,0.084811,0.019507,49.077,0.27265,1.6778,0.17161,0.14758,0.0017281,0.00039747
18,61.886,6.8786,5.9156,0.063769,0.014667,36.9,0.205,1.6771,0.18641,0.16032,0.0017282,0.00039748
19,41.243,2.5928,2.2298,0.014177,0.0032607,24.6,0.41,1.6765,0.1054,0.090643,0.00057631,0.00013255
20,41.239,2.5816,2.2202,0.014177,0.0032607,24.6,0.41,1.6764,0.10494,0.090251,0.00057631,0.00013255
21,206.04,14.889,12.805,0.17713,0.040741,123.0,1.025,1.6751,0.12105,0.1041,0.0014401,0.00033123
22,1165.3,107.04,92.054,1.3971,0.32134,713.4,2.378,1.6335,0.15004,0.12904,0.0019584,0.00045044
23,82.449,6.9582,5.984,0.070856,0.016297,49.2,0.41,1.6758,0.14143,0.12163,0.0014402,0.00033124
24,267.01,25.315,21.771,0.31316,0.072026,159.9,0.533,1.6699,0.15832,0.13615,0.0019585,0.00045045
25,2295.1,229.39,197.28,3.0059,0.69136,1439.6,2.9992,1.5943,0.15934,0.13704,0.002088,0.00048025
26,711.23,69.506,59.775,0.89993,0.20698,430.99,0.8979,1.6502,0.16127,0.13869,0.002088,0.00048025
27,205.89,20.501,17.631,0.24847,0.057148,123.25,0.34235,1.6706,0.16634,0.14305,0.0020161,0.00046369
28,82.591,7.1893,6.1828,0.070856,0.016297,49.2,0.41,1.6787,0.14612,0.12567,0.0014402,0.00033124
29,772.19,70.725,60.824,0.91538,0.21054,467.4,1.558,1.6521,0.15132,0.13013,0.0019584,0.00045044
30,1805.0,189.55,163.01,2.4774,0.56979,1119.4,0.98195,1.6124,0.16933,0.14562,0.0022131,0.00050901
31,41.258,2.6386,2.2692,0.014177,0.0032607,24.6,0.41,1.6772,0.10726,0.092244,0.00057631,0.00013255
32,509.63,51.584,44.362,0.65939,0.15166,307.13,0.46535,1.6593,0.16795,0.14444,0.0021469,0.0004938
33,205.32,21.726,18.684,0.26214,0.060293,123.0,0.205,1.6693,0.17663,0.1519,0.0021313,0.00049019
34,82.358,3.3224,2.8572,0.02835,0.0065206,49.2,0.82,1.6739,0.067528,0.058074,0.00057623,0.00013253
35,2914.0,311.01,267.47,4.0797,0.93834,1857.8,1.9352,1.5685,0.16741,0.14397,0.002196,0.00050508
36,4826.0,546.84,470.28,7.1849,1.6525,3233.9,2.5666,1.4923,0.1691,0.14542,0.0022217,0.000511
